[2026-03-17 20:24:47] 🚀🚀 2D 终极保守宇宙 (Grid=200 超高清抗锯齿·EPYC 防爆版) 启动 🚀🚀
[2026-03-17 20:24:47] 硬件自检：AMD EPYC 9754 并发严密封锁在 48 核，Numba 零拷贝结界已开启！
[2026-03-17 21:04:12] [Worker SUCCESS] eps=0.04294607262302387 | delta_a=0.005362848199607283 | MAE(100)=95.36655951684125 | 容量=193阶 | 耗时:2364.05s
[2026-03-17 21:04:28] [Worker SUCCESS] eps=0.044178659960397604 | delta_a=0.01199804601715918 | MAE(100)=902.8532269459105 | 容量=193阶 | 耗时:2380.06s
[2026-03-17 21:04:35] [Worker SUCCESS] eps=0.04331459185093714 | delta_a=0.005112941473211318 | MAE(100)=22.638716003172732 | 容量=192阶 | 耗时:2386.53s
[2026-03-17 21:04:51] [Worker SUCCESS] eps=0.04484809289196195 | delta_a=0.019485996459583616 | MAE(100)=603.0930796106421 | 容量=191阶 | 耗时:2403.00s
[2026-03-17 21:04:53] [Worker SUCCESS] eps=0.04441928363356261 | delta_a=0.008557688731950171 | MAE(100)=87.03136487133746 | 容量=192阶 | 耗时:2405.06s
[2026-03-17 21:05:14] [Worker SUCCESS] eps=0.046366408420912435 | delta_a=0.005857406560993275 | MAE(100)=678.5652410564097 | 容量=190阶 | 耗时:2425.60s
[2026-03-17 21:05:23] [Worker SUCCESS] eps=0.04393506948966274 | delta_a=0.007805543113091772 | MAE(100)=1002.4196045590885 | 容量=191阶 | 耗时:2434.63s
[2026-03-17 21:05:27] [Worker SUCCESS] eps=0.04539265086948587 | delta_a=0.0029916149510169597 | MAE(100)=155.2074456058066 | 容量=192阶 | 耗时:2438.46s
[2026-03-17 21:05:44] [Worker SUCCESS] eps=0.04821425428732879 | delta_a=0.015305056844346337 | MAE(100)=91.45317783118875 | 容量=191阶 | 耗时:2455.72s
[2026-03-17 21:05:47] [Worker SUCCESS] eps=0.04652230909620846 | delta_a=0.014377291861800184 | MAE(100)=25.42509232066706 | 容量=191阶 | 耗时:2458.87s
[2026-03-17 21:05:52] [Worker SUCCESS] eps=0.047582251536462984 | delta_a=0.013406186827981365 | MAE(100)=54.081094881294604 | 容量=192阶 | 耗时:2464.23s
[2026-03-17 21:05:57] [Worker SUCCESS] eps=0.047810600813372156 | delta_a=0.004625576712910023 | MAE(100)=49.02394521136992 | 容量=190阶 | 耗时:2468.74s
[2026-03-17 21:05:59] [Worker SUCCESS] eps=0.04798408913930472 | delta_a=0.0024271031715363215 | MAE(100)=58.41336089302107 | 容量=192阶 | 耗时:2470.29s
[2026-03-17 21:06:00] [Worker SUCCESS] eps=0.04996237235675657 | delta_a=0.01766725529876594 | MAE(100)=96.03892405779123 | 容量=194阶 | 耗时:2472.21s
[2026-03-17 21:06:02] [Worker SUCCESS] eps=0.04924636148136874 | delta_a=0.011284056898305753 | MAE(100)=45.073840387562456 | 容量=193阶 | 耗时:2473.80s
[2026-03-17 21:06:12] [Worker SUCCESS] eps=0.049838716908645116 | delta_a=0.002073985575158123 | MAE(100)=132.4019003742659 | 容量=191阶 | 耗时:2483.31s
[2026-03-17 21:06:13] [Worker SUCCESS] eps=0.04853776668815094 | delta_a=0.013060359024349604 | MAE(100)=42.43380685441334 | 容量=192阶 | 耗时:2485.11s
[2026-03-17 21:06:20] [Worker SUCCESS] eps=0.04882235489946953 | delta_a=0.006247633377296301 | MAE(100)=86.93114757305324 | 容量=194阶 | 耗时:2492.29s
[2026-03-17 21:06:25] [Worker SUCCESS] eps=0.046089660929856675 | delta_a=0.01841862288478909 | MAE(100)=35.49642996756564 | 容量=191阶 | 耗时:2497.28s
[2026-03-17 21:06:41] [Worker SUCCESS] eps=0.045891918397611975 | delta_a=0.009147313492458094 | MAE(100)=232.60093838042522 | 容量=193阶 | 耗时:2512.37s
[2026-03-17 21:06:56] [Worker SUCCESS] eps=0.046913485680334904 | delta_a=0.0034926976079480516 | MAE(100)=8.665998436757265 | 容量=192阶 | 耗时:2527.89s
[2026-03-17 21:07:04] [Worker SUCCESS] eps=0.04715988051959589 | delta_a=0.015804576032467085 | MAE(100)=94.19459459106326 | 容量=192阶 | 耗时:2535.74s
[2026-03-17 21:07:51] [Worker SUCCESS] eps=0.04903758989158182 | delta_a=0.01673809622042327 | MAE(100)=124.32300349910675 | 容量=193阶 | 耗时:2583.04s
[2026-03-17 21:08:59] [Worker SUCCESS] eps=0.042611760113646216 | delta_a=0.001130029358813017 | MAE(100)=126.63552715255472 | 容量=189阶 | 耗时:2650.80s
[2026-03-17 21:09:19] [Worker SUCCESS] eps=0.0423677519727285 | delta_a=0.006679083474329878 | MAE(100)=29.647145913297678 | 容量=191阶 | 耗时:2671.29s
[2026-03-17 21:09:44] [Worker SUCCESS] eps=0.04348944170521202 | delta_a=0.018393693395011547 | MAE(100)=211.24995074458792 | 容量=190阶 | 耗时:2695.89s
[2026-03-17 21:09:44] [Worker SUCCESS] eps=0.04504122339888545 | delta_a=0.019854615512133925 | MAE(100)=108.67576359179873 | 容量=189阶 | 耗时:2696.10s
[2026-03-17 21:09:57] [Worker SUCCESS] eps=0.04370953546808087 | delta_a=0.0014707788273890608 | MAE(100)=59.84781950625651 | 容量=190阶 | 耗时:2708.69s
[2026-03-17 21:10:11] [Worker SUCCESS] eps=0.04467650495829301 | delta_a=0.004037861707129039 | MAE(100)=200.46924633843398 | 容量=189阶 | 耗时:2722.49s
[2026-03-17 21:10:13] [Worker SUCCESS] eps=0.0465984238974347 | delta_a=0.010498311329381808 | MAE(100)=37.023817975910774 | 容量=189阶 | 耗时:2724.41s
[2026-03-17 21:10:23] [Worker SUCCESS] eps=0.04267187394009503 | delta_a=0.009587193938681078 | MAE(100)=272.35907985112027 | 容量=190阶 | 耗时:2734.49s
[2026-03-17 21:10:38] [Worker SUCCESS] eps=0.043085495887784264 | delta_a=0.017575112257430896 | MAE(100)=735.4833493746187 | 容量=190阶 | 耗时:2749.55s
[2026-03-17 21:10:57] [Worker SUCCESS] eps=0.04512996850725075 | delta_a=0.014750736762669013 | MAE(100)=20.20560881668441 | 容量=191阶 | 耗时:2768.79s
[2026-03-17 21:11:06] [Worker SUCCESS] eps=0.04200410152418548 | delta_a=0.01227219692474038 | MAE(100)=196.16517006084715 | 容量=190阶 | 耗时:2777.57s
[2026-03-17 21:11:27] [Worker SUCCESS] eps=0.049622541559458284 | delta_a=0.011678949450933826 | MAE(100)=123.69557548200274 | 容量=192阶 | 耗时:2799.22s
[2026-03-17 21:11:32] [Worker SUCCESS] eps=0.0456206800349628 | delta_a=0.00278872251768831 | MAE(100)=258.683725832084 | 容量=190阶 | 耗时:2804.14s
[2026-03-17 21:11:59] [Worker SUCCESS] eps=0.04938649026488366 | delta_a=0.010838415472416306 | MAE(100)=386.21850321015546 | 容量=193阶 | 耗时:2830.75s
[2026-03-17 21:12:20] [Worker SUCCESS] eps=0.047334376262451995 | delta_a=0.01264747606678248 | MAE(100)=11.389367813974657 | 容量=189阶 | 耗时:2851.71s
[2026-03-17 21:13:20] [Worker SUCCESS] eps=0.048313229001061525 | delta_a=0.004372532539643805 | MAE(100)=19.882806372155652 | 容量=189阶 | 耗时:2912.04s
[2026-03-17 21:19:27] [Worker SUCCESS] eps=0.050536181732705514 | delta_a=0.016389401764013153 | MAE(100)=260.0755560025721 | 容量=191阶 | 耗时:3278.69s
[2026-03-17 21:19:35] [Worker SUCCESS] eps=0.05084139046592425 | delta_a=0.01006831679004716 | MAE(100)=53.92889885512568 | 容量=190阶 | 耗时:3287.02s
[2026-03-17 21:20:16] [Worker SUCCESS] eps=0.05100806849060041 | delta_a=0.0070191703267898 | MAE(100)=130.45696545015963 | 容量=193阶 | 耗时:3327.75s
